timestamp,temperature,humidity,windSpeed,hour,Cluster,season_fall,season_spring,season_summer,season_winter,demand,demand_next_24h
2018-07-04 17:00:00,81.77333333333333,0.57,4.37,17.0,1.0,0.0,0.0,1.0,0.0,9721.333333333334,7706.0
2018-07-04 18:00:00,82.79333333333334,0.5733333333333334,4.696666666666666,18.0,1.0,0.0,0.0,1.0,0.0,9742.0,7445.333333333333
2018-07-04 19:00:00,83.13,0.56,5.593333333333334,19.0,1.0,0.0,0.0,1.0,0.0,9522.666666666666,7305.0
2018-07-04 20:00:00,83.91000000000001,0.5466666666666666,5.863333333333333,20.0,1.0,0.0,0.0,1.0,0.0,9150.333333333334,7367.666666666667
2018-07-04 21:00:00,83.38666666666667,0.57,6.916666666666667,21.0,1.0,0.0,0.0,1.0,0.0,8914.0,7530.333333333333
2018-07-04 22:00:00,82.27666666666667,0.59,7.44,22.0,0.6666666666666666,0.0,0.0,1.0,0.0,8681.666666666666,7863.333333333333
2018-07-04 23:00:00,81.26666666666667,0.6266666666666667,7.323333333333333,23.0,0.3333333333333333,0.0,0.0,1.0,0.0,8442.333333333334,8273.333333333334
2018-07-05 00:00:00,80.48,0.63,6.703333333333333,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,8060.666666666667,8770.333333333334
2018-07-05 01:00:00,79.50333333333333,0.6733333333333333,5.653333333333333,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,7706.0,9256.666666666666
2018-07-05 02:00:00,77.75333333333333,0.7166666666666667,5.236666666666666,2.0,0.3333333333333333,0.0,0.0,1.0,0.0,7445.333333333333,9682.0
2018-07-05 03:00:00,76.06666666666666,0.7600000000000001,4.786666666666666,3.0,0.3333333333333333,0.0,0.0,1.0,0.0,7305.0,10125.333333333334
2018-07-05 04:00:00,74.96333333333332,0.7799999999999999,5.406666666666666,4.0,0.0,0.0,0.0,1.0,0.0,7367.666666666667,10546.666666666666
2018-07-05 05:00:00,73.58,0.8333333333333334,4.8933333333333335,5.0,0.0,0.0,0.0,1.0,0.0,7530.333333333333,10973.333333333334
2018-07-05 06:00:00,73.10000000000001,0.85,3.7433333333333336,6.0,0.0,0.0,0.0,1.0,0.0,7863.333333333333,11403.333333333334
2018-07-05 07:00:00,72.64,0.8766666666666666,2.783333333333333,7.0,0.0,0.0,0.0,1.0,0.0,8273.333333333334,11733.666666666666
2018-07-05 08:00:00,72.19333333333333,0.8866666666666667,3.57,8.0,0.0,0.0,0.0,1.0,0.0,8770.333333333334,11988.0
2018-07-05 09:00:00,71.86333333333333,0.8933333333333334,3.143333333333333,9.0,0.0,0.0,0.0,1.0,0.0,9256.666666666666,12164.0
2018-07-05 10:00:00,71.73,0.8866666666666667,2.8466666666666662,10.0,0.0,0.0,0.0,1.0,0.0,9682.0,12163.333333333334
2018-07-05 11:00:00,72.05,0.8833333333333333,2.8299999999999996,11.0,0.0,0.0,0.0,1.0,0.0,10125.333333333334,11839.0
